REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,12V,2,38,35,13,5,3,0,2,34,2,1,2,7,32,4,8,3,2,30,1,25,2,11,1,3,0,132,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,13V,4,34,34,12,7,5,0,1,24,1,1,2,26,25,3,1,29,0,20,0,12,0,2,0,1,0,121,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,14V,2,21,27,14,2,0,0,0,32,0,1,0,10,10,7,2,20,0,25,2,11,0,8,0,2,0,98,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,15V,1,33,25,10,5,14,0,4,31,4,3,2,12,14,6,3,29,4,22,2,15,3,7,0,1,0,123,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,16V,1,30,24,19,6,3,0,1,29,1,3,0,10,14,1,6,37,2,18,2,9,1,8,0,2,0,113,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,17V,3,33,28,33,11,4,1,0,23,1,2,6,13,17,6,4,33,6,22,2,17,1,4,0,3,0,136,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,18V,0,31,31,23,8,6,2,2,22,4,2,3,9,12,18,8,20,2,25,4,13,1,6,0,2,0,125,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,19V,1,22,33,23,6,2,0,1,31,1,1,0,8,9,27,3,20,1,17,2,23,0,3,0,5,0,119,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,1V,1,17,20,13,3,7,1,1,33,2,2,2,7,6,1,3,2,1,16,4,18,9,16,1,8,0,96,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,20V,1,30,26,16,3,4,0,0,7,0,9,2,20,21,5,6,7,0,5,3,2,3,1,0,2,1,87,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
